#separator:tab
#html:false
#deck:A2 Transport & Directions
front	back	extra	tags	notetype
der Check-in	check-in	der Check-in, die Check-ins	transport a2	A2 Transport	Basic
der Boardingpass	boarding pass	der Boardingpass, die Boardingpässe	transport a2	A2 Transport	Reverse
das Gate	gate	das Gate, die Gates	transport a2	A2 Transport	Basic
der Terminal	terminal	der Terminal, die Terminals	transport a2	A2 Transport	Reverse
das Terminal	terminal (building)	das Terminal, die Terminals	transport a2	A2 Transport	Basic
der Abflug	departure (flight)	der Abflug, die Abflüge	transport a2	A2 Transport	Basic
die Landung	landing	die Landung, die Landungen	transport a2	A2 Transport	Reverse
starten	to take off	gestartet	transport a2	A2 Transport	Basic
landen	to land	gelandet	transport a2	A2 Transport	Reverse
die Sicherheitskontrolle	security check	die Sicherheitskontrolle, die Sicherheitskontrollen	transport a2	A2 Transport	Reverse
die Passkontrolle	passport control	die Passkontrolle, die Passkontrollen	transport a2	A2 Transport	Basic
der Zoll	customs	der Zoll (no plural)	transport a2	A2 Transport	Basic
die Grenze	border	die Grenze, die Grenzen	transport a2	A2 Transport	Reverse
