#separator:tab
#html:false
#deck:B1 German Phrasal Verbs
front	back	extra	tags	notetype
vergleichen	to compare	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
verhindern	to prevent	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
verkaufen	to sell	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
sich verlassen auf	to rely on	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
vermuten	to suppose	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
missverstehen	to misunderstand	miss- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
verwandeln	to transform	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
vorbereiten	to prepare/vor- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
etwas vorbereiten	to prepare something	vorbereiten (vorbereitet)	verbs b1	B1 Phrasal Verbs	Reverse
vorstellen	to introduce/to imagine	vor- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
vorschlagen	to suggest	vor- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
vorspielen	to play (instrument)/to present	vor- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
jemanden vorstellen	to introduce someone	vor- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
weiterfahren	to continue (driving)/weiter- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
weitergehen	to continue/weg- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
weiterkommen	to make progress/weiter- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
weiterlesen	to continue reading/weiter- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
weiterentwickeln	to develop further/weiter- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
zuhören	to listen (zu + dat)	zuhören (zugehört)	verbs b1	B1 Phrasal Verbs	Basic
zunehmen	to gain weight/to increase	zunehmen (zugenommen)	verbs b1	B1 Phrasal Verbs	Reverse
zurückfahren	to drive back/zurück- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
zurückgeben	to give back/zurück- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
zurückkommen	to come back/zurück- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
zustimmen	to agree (dat)	zustimmen (zugestimmt)	verbs b1	B1 Phrasal Verbs	Basic
sich abspielen	to happen	sich abspielen (abgespielt)	verbs b1	B1 Phrasal Verbs	Basic
sich anmelden	to register	sich anmelden (angemeldet)	verbs b1	B1 Phrasal Verbs	Reverse
sich anziehen	to get dressed	sich anziehen (angezogen)	verbs b1	B1 Phrasal Verbs	Basic
sich ausruhen	to rest	sich ausruhen (ausgeruht)	verbs b1	B1 Phrasal Verbs	Reverse
sich ausziehen	to get undressed	sich ausziehen (ausgezogen)	verbs b1	B1 Phrasal Verbs	Reverse
sich bedanken	to thank	sich bedanken (bedankt)	verbs b1	B1 Phrasal Verbs	Basic
sich befinden	to be located	sich befinden (befunden)	verbs b1	B1 Phrasal Verbs	Reverse
sich bewerben	to apply	sich bewerben (beworben)	verbs b1	B1 Phrasal Verbs	Basic
sich erkundigen	to inquire	sich erkundigen (erkundigt)	verbs b1	B1 Phrasal Verbs	Reverse
sich entscheiden	to decide	sich entscheiden (entschieden)	verbs b1	B1 Phrasal Verbs	Basic
sich entschuldigen	to apologize	sich entschuldigen (entschuldigt)	verbs b1	B1 Phrasal Verbs	Reverse
sich erholen	to relax	sich erholen (erholt)	verbs b1	B1 Phrasal Verbs	Basic
sich freuen	to be happy	sich freuen (gefreut)	verbs b1	B1 Phrasal Verbs	Reverse
sich gewöhnen	to get used to	sich gewöhnen (gewöhnt)	verbs b1	B1 Phrasal Verbs	Basic
sich hinlegen	to lie down	sich hinlegen (hingelegt)	verbs b1	B1 Phrasal Verbs	Basic
sich informieren	to inform oneself	sich informieren (informiert)	verbs b1	B1 Phrasal Verbs	Reverse
sich interressieren	to be interested	sich interessieren (interessiert)	verbs b1	B1 Phrasal Verbs	Basic
sich konzentrieren	to concentrate	sich konzentrieren (konzentriert)	verbs b1	B1 Phrasal Verbs	Basic
sich kümmern	to take care of	sich kümmern (gekümmert)	verbs b1	B1 Phrasal Verbs	Basic
sich melden	to register/to answer	sich melden (gemeldet)	verbs b1	B1 Phrasal Verbs	Reverse
sich ndern	to change	sich ndern (geändert)	verbs b1	B1 Phrasal Verbs	Basic
sich treffen	to meet	sich treffen (getroffen)	verbs b1	B1 Phrasal Verbs	Reverse
sich umsehen	to look around	sich umsehen (umgesehen)	verbs b1	B1 Phrasal Verbs	Basic
sich unterhalten	to converse	sich unterhalten (unterhalten)	verbs b1	B1 Phrasal Verbs	Basic
sich verabreden	to make a date	sich verabreden (verabredet)	verbs b1	B1 Phrasal Verbs	Reverse
sich verlaufen	to get lost	sich verlaufen (verlaufen)	verbs b1	B1 Phrasal Verbs	Basic
sich verstehen	to get along	sich verstehen (verstanden)	verbs b1	B1 Phrasal Verbs	Reverse
sich vorbereiten	to prepare oneself	sich vorbereiten (vorbereitet)	verbs b1	B1 Phrasal Verbs	Basic
sich vorstellen	to imagine	sich vorstellen (vorgestellt)	verbs b1	B1 Phrasal Verbs	Reverse
sich waschen	to wash oneself	sich waschen (gewaschen)	verbs b1	B1 Phrasal Verbs	Basic
sich wundern	to be surprised	sich wundern (gewundert)	verbs b1	B1 Phrasal Verbs	Reverse
Das Verb ist trennbar.	The verb is separable.	Rule: prefix separates in present tense	verbs b1	B1 Phrasal Verbs	Basic
Der Rat fällt weg.	The rat falls off.	Example for "abfallen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Ich sehe den Film an.	I am watching the film.	Example for "ansehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Die Tür macht auf.	The door opens.	Example for "aufmachen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Er geht aus.	He goes out.	Example for "ausgehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Ich verstehe dich.	I understand you.	Example for "verstehen" (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Sie erzählt eine Geschichte.	She tells a story.	Example for "erzählen" (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
Er erklärt das Problem.	He explains the problem.	Example for "erklären" (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Ich höre zu.	I am listening.	Example for "zuhören" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Der Zug kommt an.	The train arrives.	Example for "ankommen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das Kind zieht sich an.	The child gets dressed.	Example for "sich anziehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Der Film fängt an.	The film begins.	Example for "anfangen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das Licht geht aus.	The light goes out.	Example for "ausgehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Sie kauft ein.	She does shopping.	Example for "einkaufen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Er spricht nach.	He repeats after.	Example for "nachsprechen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das macht mir nichts aus.	That doesn't bother me.	Example for "ausmachen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Er hält durch.	He holds on/endures.	Example for "durchhalten" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Sie sieht fern.	She watches TV.	Example for "fernsehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Die Lampe brennt durch.	The bulb burns out.	Example for "durchbrennen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das Problem ergibt sich.	The problem arises.	Example for "sich ergeben" (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
Er macht mit.	He participates.	Example for "mitmachen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das Kind läuft weg.	The child runs away.	Example for "weglaufen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das Wasser läuft über.	The water overflows.	Example for "überlaufen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Die Zeit vergeht.	The time passes.	Example for "vergehen" (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das Kind wächst auf.	The child grows up.	Example for "aufwachsen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Die Uhr geht nach.	The clock is slow.	Example for "nachgehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das Auto fährt vorbei.	The car drives past.	Example for "vorbeifahren" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das kommt mir entgegen.	This suits me.	Example for "entgegenkommen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Die Situation steht bevor.	The situation is approaching.	Example for "bevorstehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das hält sich.	This holds/ lasts.	Example for "sich halten" (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
Die Geschichte hält sich.	The story holds up.	Example for "sich halten" (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das tritt zurück.	It steps back.	Example for "zurücktreten" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Die Sonne geht unter.	The sun sets.	Example for "untergehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das kommt hinzu.	This is added.	Example for "hinzukommen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das schlägt fehl.	This fails.	Example for "fehlschlagen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das fällt leicht.	This comes easy.	Example for "leichtfallen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das schneidet zu.	This cuts too deep.	Example for "zuschneiden" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das greift um sich.	This spreads.	Example for "umsichgreifen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das geht durch.	This goes through.	Example for "durchgehen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das setzt sich durch.	This prevails.	Example for "sich durchsetzen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das nimmt ab.	This decreases.	Example for "abnehmen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das nimmt zu.	This increases.	Example for "zunehmen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das spielt sich ab.	This happens.	Example for "sich abspielen" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das stellt sich heraus.	This turns out.	Example for "herausstellen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das bleibt übrig.	This remains.	Example for "übrigbleiben" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
Das kommt zustande.	This comes about.	Example for "zustandekommen" (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
Das wirkt nach.	This has a lasting effect.	Example for "nachwirken" (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
