#separator:tab
#html:false
#deck:A2 Work & Office
front	back	extra	tags	notetype
das Gehalt	salary	das Gehalt, die Gehälter	work a2	A2 Work	Basic
der Lohn	wage	der Lohn, die Löhne	work a2	A2 Work	Reverse
die Prämie	bonus	die Prämie, die Prämien	work a2	A2 Work	Basic
die Überstunde	overtime	die Überstunde, die Überstunden	work a2	A2 Work	Reverse
die Pause	break	die Pause, die Pausen	work a2	A2 Work	Basic
die Mittagspause	lunch break	die Mittagspause, die Mittagspausen	work a2	A2 Work	Reverse
die Teepause	coffee break	die Teepause, die Teepausen	work a2	A2 Work	Basic
die Versicherung	insurance	die Versicherung, die Versicherungen	work a2	A2 Work	Reverse
die Krankenversicherung	health insurance	die Krankenversicherung, die Krankenversicherungen	work a2	A2 Work	Basic
die Rentenversicherung	pension insurance	die Rentenversicherung, die Rentenversicherungen	work a2	A2 Work	Reverse
die Arbeitslosenversicherung	unemployment insurance	die Arbeitslosenversicherung, die Arbeitslosenversicherungen	work a2	A2 Work	Basic
die Pflegeversicherung	long-term care insurance	die Pflegeversicherung, die Pflegeversicherungen	work a2	A2 Work	Reverse
die Steuer	tax	die Steuer, die Steuern	work a2	A2 Work	Basic
die Abgabe	fee/levy	die Abgabe, die Abgaben	work a2	A2 Work	Reverse
die Sozialabgaben	social security contributions	die Sozialabgaben (plural)	work a2	A2 Work	Basic
die Aufgabe	task/assignment	die Aufgabe, die Aufgaben	work a2	A2 Work	Reverse
die Verantwortung	responsibility	die Verantwortung, die Verantwortungen	work a2	A2 Work	Basic
die Deadline	deadline	die Deadline, die Deadlines	work a2	A2 Work	Reverse
die Priorität	priority	die Priorität, die Prioritäten	work a2	A2 Work	Basic
die Dringlichkeit	urgency	die Dringlichkeit, die Dringlichkeiten	work a2	A2 Work	Reverse
die Besprechung	meeting	die Besprechung, die Besprechungen	work a2	A2 Work	Basic
die Konferenz	conference	die Konferenz, die Konferenzen	work a2	A2 Work	Reverse
die Präsentation	presentation	die Präsentation, die Präsentationen	work a2	A2 Work	Basic
der Vortrag	talk/lecture	der Vortrag, die Vorträge	work a2	A2 Work	Reverse
die Diskussion	discussion	die Diskussion, die Diskussionen	work a2	A2 Work	Basic
die Entscheidung	decision	die Entscheidung, die Entscheidungen	work a2	A2 Work	Reverse
die Vereinbarung	agreement	die Vereinbarung, die Vereinbarungen	work a2	A2 Work	Basic
die Bestätigung	confirmation	die Bestätigung, die Bestätigungen	work a2	A2 Work	Reverse
die Rückmeldung	feedback	die Rückmeldung, die Rückmeldungen	work a2	A2 Work	Basic
die Kritik	criticism	die Kritik, die Kritiken	work a2	A2 Work	Reverse
das Lob	praise	das Lob, die Lobe	work a2	A2 Work	Basic
die Beförderung	promotion	die Beförderung, die Beförderungen	work a2	A2 Work	Reverse
die Abteilung	department	die Abteilung, die Abteilungen	work a2	A2 Work	Basic
das Team	team	das Team, die Teams	work a2	A2 Work	Reverse
die Zusammenarbeit	cooperation	die Zusammenarbeit (no plural)	work a2	A2 Work	Basic
die Kommunikation	communication	die Kommunikation, die Kommunikationen	work a2	A2 Work	Reverse
die E-Mail	email	die E-Mail, die E-Mails	work a2	A2 Work	Basic
die Nachricht	message	die Nachricht, die Nachrichten	work a2	A2 Work	Reverse
das Telefonat	phone call	das Telefonat, die Telefonate	work a2	A2 Work	Basic
der Anruf	phone call	der Anruf, die Anrufe	work a2	A2 Work	Reverse
der Rückruf	callback	der Rückruf, die Rückrufe	work a2	A2 Work	Basic
die Durchwahl	extension number	die Durchwahl, die Durchwahlen	work a2	A2 Work	Reverse
das Projekt	project	das Projekt, die Projekte	work a2	A2 Work	Basic
das Ergebnis	result	das Ergebnis, die Ergebnisse	work a2	A2 Work	Reverse
die Lösung	solution	die Lösung, die Lösungen	work a2	A2 Work	Basic
das Problem	problem	das Problem, die Probleme	work a2	A2 Work	Reverse
die Verbesserung	improvement	die Verbesserung, die Verbesserungen	work a2	A2 Work	Basic
die Änderung	change	die Änderung, die Änderungen	work a2	A2 Work	Reverse
der Fortschritt	progress	der Fortschritt, die Fortschritte	work a2	A2 Work	Basic
die Planung	planning	die Planung, die Planungen	work a2	A2 Work	Reverse
das Ziel	goal/target	das Ziel, die Ziele	work a2	A2 Work	Basic
die Strategie	strategy	die Strategie, die Strategien	work a2	A2 Work	Reverse
die Motivation	motivation	die Motivation, die Motivationen	work a2	A2 Work	Basic
die Leistung	performance/achievement	die Leistung, die Leistungen	work a2	A2 Work	Reverse
die Belohnung	reward	die Belohnung, die Belohnungen	work a2	A2 Work	Basic
die Erinnerung	reminder	die Erinnerung, die Erinnerungen	work a2	A2 Work	Reverse
die Einladung	invitation	die Einladung, die Einladungen	work a2	A2 Work	Basic
die Teilnahme	participation	die Teilnahme, die Teilnahmen	work a2	A2 Work	Reverse
die Absage	cancellation	die Absage, die Absagen	work a2	A2 Work	Basic
die Zusage	acceptance	die Zusage, die Zusagen	work a2	A2 Work	Reverse
die Entschuldigung	apology	die Entschuldigung, die Entschuldigungen	work a2	A2 Work	Basic
die Begrüßung	greeting	die Begrüßung, die Begrüßungen	work a2	A2 Work	Reverse
die Verabschiedung	farewell	die Verabschiedung, die Verabschiedungen	work a2	A2 Work	Basic
die Frage	question	die Frage, die Fragen	work a2	A2 Work	Reverse
die Antwort	answer	die Antwort, die Antworten	work a2	A2 Work	Basic
die Information	information	die Information, die Informationen	work a2	A2 Work	Reverse
die Erklärung	explanation	die Erklärung, die Erklärungen	work a2	A2 Work	Basic
die Anweisung	instruction	die Anweisung, die Anweisungen	work a2	A2 Work	Reverse
die Regel	rule	die Regel, die Regeln	work a2	A2 Work	Basic
die Vorschrift	regulation	die Vorschrift, die Vorschriften	work a2	A2 Work	Reverse
die Richtlinie	guideline	die Richtlinie, die Richtlinien	work a2	A2 Work	Basic
die Politik	policy	die Politik, die Politiken	work a2	A2 Work	Reverse
die Kultur	culture (workplace)	die Kultur, die Kulturen	work a2	A2 Work	Basic
die Atmosphäre	atmosphere	die Atmosphäre, die Atmosphären	work a2	A2 Work	Reverse
die Wartezeit	waiting time	die Wartezeit, die Wartezeiten	work a2	A2 Work	Basic
die Betriebsrat	works council	der Betriebsrat, die Betriebsräte	work a2	A2 Work	Reverse
die Gewerkschaft	trade union	die Gewerkschaft, die Gewerkschaften	work a2	A2 Work	Basic
die Arbeitnehmer	employee	der Arbeitnehmer, die Arbeitnehmer	work a2	A2 Work	Reverse
die Arbeitgeber	employer	der Arbeitgeber, die Arbeitgeber	work a2	A2 Work	Basic
die Selbstständige	self-employed person	der Selbstständige, die Selbstständigen	work a2	A2 Work	Reverse
die Freiberufler	freelancer	der Freiberufler, die Freiberufler	work a2	A2 Work	Basic
die Gründer	founder	der Gründer, die Gründer	work a2	A2 Work	Reverse
die Unternehmer	entrepreneur	der Unternehmer, die Unternehmer	work a2	A2 Work	Basic
die Geschäftsführer	managing director	der Geschäftsführer, die Geschäftsführer	work a2	A2 Work	Reverse
die Geschäftspartner	business partner	der Geschäftspartner, die Geschäftspartner	work a2	A2 Work	Basic
die Lieferant	supplier	der Lieferant, die Lieferanten	work a2	A2 Work	Reverse
die Kunde	customer	der Kunde, die Kunden	work a2	A2 Work	Basic
die Kundin	customer (female)	die Kundin, die Kundinnen	work a2	A2 Work	Reverse
die Klient	client	der Klient, die Klienten	work a2	A2 Work	Basic
die Mandant	client (legal)	der Mandant, die Mandanten	work a2	A2 Work	Reverse
die Nutzer	user	der Nutzer, die Nutzer	work a2	A2 Work	Basic
die Konsument	consumer	der Konsument, die Konsumenten	work a2	A2 Work	Reverse
die Zielgruppe	target group	die Zielgruppe, die Zielgruppen	work a2	A2 Work	Basic
die Marke	brand	die Marke, die Marken	work a2	A2 Work	Reverse
die Nachfrage	demand	die Nachfrage, die Nachfragen	work a2	A2 Work	Basic
das Angebot	supply	das Angebot, die Angebote	work a2	A2 Work	Reverse
die Konkurrenz	competition	die Konkurrenz, die Konkurrenzen	work a2	A2 Work	Basic
die Preis	price	der Preis, die Preise	work a2	A2 Work	Reverse
die Kosten	costs	die Kosten (plural)	work a2	A2 Work	Basic
die Rabatt	discount	die Rabatt, die Rabatte	work a2	A2 Work	Reverse
die Verhandlung	negotiation	die Verhandlung, die Verhandlungen	work a2	A2 Work	Basic
die Unterschrift	signature	die Unterschrift, die Unterschriften	work a2	A2 Work	Reverse
die Genehmigung	approval	die Genehmigung, die Genehmigungen	work a2	A2 Work	Basic
die Quittung	receipt	die Quittung, die Quittungen	work a2	A2 Work	Reverse
die Rechnung	invoice	die Rechnung, die Rechnungen	work a2	A2 Work	Basic
die Zahlung	payment	die Zahlung, die Zahlungen	work a2	A2 Work	Reverse
die Kreditkarte	credit card	die Kreditkarte, die Kreditkarten	work a2	A2 Work	Basic
die Banküberweisung	bank transfer	die Banküberweisung, die Banküberweisungen	work a2	A2 Work	Reverse
die Barzahlung	cash payment	die Barzahlung, die Barzahlungen	work a2	A2 Work	Basic
die Ratenzahlung	installment payment	die Ratenzahlung, die Ratenzahlungen	work a2	A2 Work	Reverse
die Kaution	deposit	die Kaution, die Kautionen	work a2	A2 Work	Basic
die Miete	rent	die Miete, die Mieten	work a2	A2 Work	Reverse
die Nebenkosten	utility costs	die Nebenkosten (plural)	work a2	A2 Work	Basic
die Buchhaltung	accounting	die Buchhaltung, die Buchhaltungen	work a2	A2 Work	Reverse
die Bilanz	balance sheet	die Bilanz, die Bilanzen	work a2	A2 Work	Basic
der Gewinn	profit	der Gewinn, die Gewinne	work a2	A2 Work	Reverse
der Verlust	loss	der Verlust, die Verluste	work a2	A2 Work	Basic
der Umsatz	revenue	der Umsatz, die Umsätze	work a2	A2 Work	Reverse
die Investition	investment	die Investition, die Investitionen	work a2	A2 Work	Basic
die Rücklage	reserve	die Rücklage, die Rücklagen	work a2	A2 Work	Reverse
die Dividende	dividend	die Dividende, die Dividenden	work a2	A2 Work	Basic
die Aktie	share/stock	die Aktie, die Aktien	work a2	A2 Work	Reverse
die Börse	stock exchange	die Börse, die Börsen	work a2	A2 Work	Basic
die Wirtschaft	economy	die Wirtschaft, die Wirtschaften	work a2	A2 Work	Reverse
die Branche	industry/sector	die Branche, die Branchen	work a2	A2 Work	Basic
die Firma	company	die Firma, die Firmen	work a2	A2 Work	Reverse
die GmbH	LLC	die GmbH, die GmbHs	work a2	A2 Work	Basic
die AG	public limited company	die AG, die AGs	work a2	A2 Work	Reverse
das Einzelunternehmen	solo business	das Einzelunternehmen, die Einzelunternehmen	work a2	A2 Work	Basic
die Partnerschaft	partnership	die Partnerschaft, die Partnerschaften	work a2	A2 Work	Reverse
die Kooperation	cooperation	die Kooperation, die Kooperationen	work a2	A2 Work	Basic
die Fusion	merger	die Fusion, die Fusionen	work a2	A2 Work	Reverse
die Übernahme	acquisition	die Übernahme, die Übernahmen	work a2	A2 Work	Basic
die Gründung	foundation/startup	die Gründung, die Gründungen	work a2	A2 Work	Reverse
die Insolvenz	insolvency/bankruptcy	die Insolvenz, die Insolvenzen	work a2	A2 Work	Basic
die Sanierung	restructuring	die Sanierung, die Sanierungen	work a2	A2 Work	Reverse
das Wachstum	growth	das Wachstum, die Wachstums	work a2	A2 Work	Reverse
die Expansion	expansion	die Expansion, die Expansionen	work a2	A2 Work	Basic
die Innovation	innovation	die Innovation, die Innovationen	work a2	A2 Work	Reverse
die Kreativität	creativity	die Kreativität, die Kreativitäten	work a2	A2 Work	Basic
die Flexibilität	flexibility	die Flexibilität, die Flexibilitäten	work a2	A2 Work	Reverse
die Effizienz	efficiency	die Effizienz, die Effizienzen	work a2	A2 Work	Basic
die Produktivität	productivity	die Produktivität, die Produktivitäten	work a2	A2 Work	Reverse
die Qualität	quality	die Qualität, die Qualitäten	work a2	A2 Work	Basic
die Kundenzufriedenheit	customer satisfaction	die Kundenzufriedenheit (no plural)	work a2	A2 Work	Reverse
die Kampagne	campaign	die Kampagne, die Kampagnen	work a2	A2 Work	Basic
die Werbung	advertising	die Werbung, die Werbungen	work a2	A2 Work	Reverse
die Helpdesk	help desk	der Helpdesk, die Helpdesks	work a2	A2 Work	Basic
die Hotline	hotline	die Hotline, die Hotlines	work a2	A2 Work	Reverse
die FAQ	FAQ	die FAQ	work a2	A2 Work	Basic
die Dokumentation	documentation	die Dokumentation, die Dokumentationen	work a2	A2 Work	Reverse
die Fehlerbehebung	troubleshooting	die Fehlerbehebung, die Fehlerbehebungen	work a2	A2 Work	Basic
die Fehlermeldung	Error message	die Fehlermeldung, die Fehlermeldungen	work a2	A2 Work	Reverse
die Konfiguration	configuration	die Konfiguration, die Konfigurationen	work a2	A2 Work	Basic
die Einstellung (System)	setting	die Einstellung, die Einstellungen	work a2	A2 Work	Reverse
die Datenbank	database	die Datenbank, die Datenbanken	work a2	A2 Work	Basic
die API	API	die API	work a2	A2 Work	Reverse
die Sicherheit	security/safety	die Sicherheit, die Sicherheiten	work a2	A2 Work	Basic
die Verschlüsselung	encryption	die Verschlüsselung, die Verschlüsselungen	work a2	A2 Work	Reverse
die Firewall	firewall	die Firewall, die Firewalls	work a2	A2 Work	Basic
die Backup	backup	das Backup, die Backups	work a2	A2 Work	Reverse
die Wiederherstellung	recovery	die Wiederherstellung, die Wiederherstellungen	work a2	A2 Work	Basic
die Risiko	risk	das Risiko, die Risiken	work a2	A2 Work	Reverse
die Auswirkung	impact	die Auswirkung, die Auswirkungen	work a2	A2 Work	Basic
die Bewertung	evaluation/assessment	die Bewertung, die Bewertungen	work a2	A2 Work	Reverse
die Korrekturmaßnahme	corrective action	die Korrekturmaßnahme, die Korrekturmaßnahmen	work a2	A2 Work	Basic
die Präventivmaßnahme	preventive measure	die Präventivmaßnahme, die Präventivmaßnahmen	work a2	A2 Work	Reverse
die Wartung	maintenance	die Wartung, die Wartungen	work a2	A2 Work	Basic
die Reparatur	repair	die Reparatur, die Reparaturen	work a2	A2 Work	Reverse
